Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),gFx,gFy,gFz,gFTotal,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Activity
-4.36E-01,2.78E+00,1.01E+01,1.05E+01,-0.162,-0.396,-0.734,0.849,-3.98E-01,3.35E-01,-4.36E-01,6.78E-01,running
2.99E-04,2.35E+00,1.12E+01,1.15E+01,-0.146,-0.39,-0.771,0.876,-1.18E-01,9.44E-01,2.68E-01,9.89E-01,running
3.53E-01,1.88E+00,1.20E+01,1.21E+01,-0.12,-0.377,-0.809,0.901,1.79E-01,1.49E+00,1.00E+00,1.81E+00,running
9.49E-01,1.38E+00,1.19E+01,1.20E+01,-0.095,-0.359,-0.833,0.912,5.36E-01,2.13E+00,1.76E+00,2.82E+00,running
1.44E+00,8.77E-01,1.13E+01,1.14E+01,-0.08,-0.346,-0.838,0.911,9.94E-01,2.91E+00,2.68E+00,4.08E+00,running
1.65E+00,7.91E-01,1.05E+01,1.07E+01,-0.064,-0.345,-0.832,0.903,1.44E+00,3.74E+00,3.65E+00,5.42E+00,running
1.59E+00,8.48E-01,9.31E+00,9.49E+00,-0.063,-0.349,-0.823,0.896,1.56E+00,4.35E+00,4.43E+00,6.40E+00,running
1.86E+00,1.66E-01,8.21E+00,8.42E+00,-0.083,-0.354,-0.815,0.893,1.55E+00,4.71E+00,4.93E+00,6.99E+00,running
2.06E+00,-4.73E-01,8.27E+00,8.54E+00,-0.128,-0.365,-0.813,0.9,1.36E+00,4.54E+00,5.03E+00,6.91E+00,running
2.48E+00,-7.63E-01,9.23E+00,9.59E+00,-0.175,-0.371,-0.84,0.935,1.17E+00,3.90E+00,4.86E+00,6.34E+00,running
2.56E-01,2.15E+00,9.37E+00,9.62E+00,-0.012,-0.196,-0.995,1.015,-1.04E-01,-8.79E-02,2.12E-02,1.38E-01,standing
